Location,Parking Spaces,Toilets,Baths,Price
Lekki,2,4,3,3000000.0
Lekki,2,0,3,2800000.0
Lekki,2,4,3,2800000.0
Lekki,2,4,3,2000000.0
Ajah,6,4,3,800000.0
Ajah,0,4,3,700000.0
Ajah,0,4,3,1000000.0
Ajah,2,4,3,1500000.0
Maryland,3,3,3,2500000.0
Ikeja,0,3,3,1200000.0
Lekki,0,4,3,1600000.0
Lekki,0,0,0,3000000.0
Ikoyi,4,4,3,30000000.0
Lekki,0,4,3,2500000.0
Lekki,0,4,4,1700000.0
Ajah,0,0,0,700000.0
Ikoyi,3,4,3,12000000.0
Ikeja,16,4,3,8000000.0
Isolo,10,4,3,950000.0
Ikeja,0,0,0,15000000.0
Magodo,3,4,3,1800000.0
Lekki,0,4,3,2000000.0
Ikoyi,2,4,3,14000000.0
Lekki,2,4,3,2800000.0
VI,0,4,3,8000000.0
Ikoyi,0,4,3,5000000.0
Lekki,2,4,3,1800000.0
Ikoyi,2,4,3,8000000.0
Lekki,3,3,3,3500000.0
Lekki,2,4,3,3000000.0
Ikoyi,2,3,3,9000000.0
Ikoyi,12,4,3,6000000.0
Ikoyi,2,4,3,18000000.0
VI,1,3,3,3500000.0
Ajah,15,4,3,1500000.0
Ikoyi,2,4,4,8000000.0
Ajah,2,3,3,1200000.0
Lekki,0,4,3,3500000.0
Lekki,2,4,3,2000000.0
Lekki,0,4,3,3000000.0
Ajah,0,4,3,1500000.0
Lekki,3,4,3,2000000.0
Ikoyi,2,4,3,12000000.0
Ikeja,0,4,4,4000000.0
Lekki,2,4,3,2800000.0
Ikeja,0,3,3,1000000.0
Yaba,0,4,3,2000000.0
Lekki,0,4,4,2700000.0
Agege,3,3,3,650000.0
Gbagada,2,4,3,2200000.0
VI,3,4,3,
Ogudu,2,4,3,3000000.0
Lekki,0,4,3,1800000.0
Lekki,2,4,3,2000000.0
Lekki,12,4,4,1200000.0
Ikoyi,3,4,3,15000000.0
VI,0,0,0,5000000.0
Lekki,2,4,3,2800000.0
Ikoyi,5,4,4,10000000.0
Gbagada,2,3,2,900000.0
Ajah,2,4,3,700000.0
Lekki,3,4,3,3000000.0
Ajah,0,4,3,400000.0
Ikoyi,3,4,4,12000000.0
Ikoyi,0,0,0,13000000.0
Lekki,2,4,3,2800000.0
Surulere,2,4,3,1350000.0
Ikoyi,2,4,3,5500000.0
VI,2,4,3,3000000.0
Lekki,12,4,4,1800000.0
Ikeja,1,4,3,1200000.0
Gbagada,3,4,3,1500000.0
Lekki,5,4,3,2700000.0
Ajah,0,4,3,1100000.0
Lekki,0,3,3,800000.0
Lekki,0,4,3,3000000.0
Ikoyi,0,4,4,6500000.0
Ikoyi,0,4,3,8000000.0
Ikoyi,2,4,3,18000000.0
Ikoyi,0,4,3,10000000.0
VI,0,3,4,5000000.0
VI,0,4,3,10000000.0
Lekki,2,4,3,1700000.0
Ikoyi,0,4,4,10000000.0
Ajah,0,4,3,1500000.0
Ajah,0,3,3,900000.0
Lekki,2,4,3,2800000.0
Lekki,3,4,3,2800000.0
Lekki,0,3,3,2000000.0
Ajah,2,4,3,1000000.0
Ikoyi,0,2,2,3500000.0
Ajah,4,4,3,1200000.0
Ikoyi,2,4,3,
Lekki,0,4,3,2500000.0
Ikoyi,2,4,3,15000000.0
Ikoyi,0,4,3,3000000.0
VI,0,4,3,4000000.0
VI,0,4,3,3500000.0
Ikoyi,2,4,3,12000000.0
Ikoyi,2,4,3,23000000.0
VI,2,4,3,12000000.0
Ikoyi,2,3,2,8500000.0
Lekki,3,4,3,3000000.0
Ajah,0,4,3,3000000.0
Lekki,5,3,3,1800000.0
Ajah,0,4,3,800000.0
Ajah,0,4,3,800000.0
Lekki,2,4,3,2800000.0
Lekki,2,4,3,3000000.0
VI,1,3,2,3500000.0
Ikoyi,0,4,3,11000000.0
Lekki,2,4,3,2600000.0
Lekki,0,3,3,2000000.0
Lekki,8,4,3,2500000.0
Lekki,2,4,3,2700000.0
Lekki,2,4,3,3500000.0
VI,0,4,3,4000000.0
VI,0,0,0,5000000.0
Ajah,0,3,3,1500000.0
Lekki,0,3,3,1800000.0
Ajah,8,4,3,1100000.0
Lekki,0,4,3,3500000.0
VI,0,0,0,5000000.0
VI,0,4,3,6500000.0
Maryland,2,5,3,1700000.0
Ikoyi,0,4,3,10000000.0
Ikoyi,0,4,3,12000000.0
Lekki,0,4,3,9500000.0
Lekki,2,4,3,2800000.0
Lekki,2,4,3,3500000.0
Ikoyi,0,4,3,10000000.0
Lekki,0,4,3,4000000.0
Lekki,0,3,3,2800000.0
Lekki,1,4,3,2500000.0
Ajah,2,4,3,1000000.0
Lekki,0,3,3,2700000.0
Ikotun,8,4,3,300000.0
Lekki,0,3,3,1700000.0
Lekki,3,3,2,1200000.0
Ikoyi,2,4,3,10000000.0
Ajah,0,5,4,1500000.0
Lekki,2,4,3,2300000.0
North,0,3,3,1000000.0
Ikoyi,2,4,3,14000000.0
Ikoyi,2,4,3,12500000.0
VI,2,4,3,9000000.0
Lekki,0,0,0,3000000.0
Lekki,0,4,3,1400000.0
Ikoyi,2,4,3,5500000.0
Lekki,2,4,3,2800000.0
Ikoyi,0,4,3,9000000.0
VI,0,4,3,3000000.0
Lekki,2,4,3,800000.0
Yaba,2,3,3,1200000.0
Lekki,3,4,3,2000000.0
Lekki,0,4,3,1800000.0
Lekki,0,4,3,2000000.0
Ikoyi,0,4,3,9000000.0
Lekki,0,3,3,4000000.0
Ikoyi,2,4,3,7000000.0
Ikoyi,2,3,4,6500000.0
Lekki,2,3,3,4000000.0
Ikoyi,0,3,3,9000000.0
Lekki,2,4,3,5000000.0
Lekki,0,4,3,3000000.0
Surulere,0,4,4,1300000.0
Lekki,2,4,3,3000000.0
Lekki,2,4,3,2500000.0
Lekki,3,4,3,3500000.0
Lekki,2,4,3,7500000.0
Lekki,2,4,3,2800000.0
Lekki,0,3,3,1800000.0
VI,3,4,3,3000000.0
Lekki,0,4,3,3000000.0
Lekki,0,4,3,3500000.0
Lekki,2,4,3,3500000.0
Ajah,10,4,4,1000000.0
Lekki,2,4,3,3000000.0
Ikeja,1,4,3,1100000.0
Ojodu,0,4,3,1300000.0
Ikoyi,2,4,3,13000000.0
Ikoyi,2,4,3,10000000.0
Ikoyi,2,4,3,6500000.0
VI,0,3,2,2600000.0
Lekki,0,4,3,3800000.0
Lekki,4,4,3,2600000.0
